year,season,mean_temp
2012,spring,15.146
2012,summer,16.7826
2012,winter,13.5807
2013,fall,15.1101
2013,spring,15.2238
2013,summer,16.6442
2013,winter,13.7551
2014,fall,15.1056
2014,spring,14.9793
2014,summer,16.545
2014,winter,13.3931
2015,winter,13.4175
