year,country,mean_temp
1881,South Africa,17.663959842403813
1882,South Africa,16.8770104610511
1883,South Africa,18.05891984452171
1884,South Africa,17.369810053839217
1885,South Africa,17.14263693551044
1886,South Africa,16.92784983663023
1887,South Africa,16.62036864626691
1888,South Africa,17.787470927153493
1889,South Africa,16.73700188353712
1890,South Africa,17.030517066661105
1891,South Africa,17.341391118346678
1892,South Africa,17.348320166182987
1893,South Africa,16.86809703498284
1894,South Africa,16.9702310254724
1895,South Africa,17.051569464810598
1896,South Africa,17.379527743953872
1897,South Africa,17.291093336824304
1898,South Africa,17.12125968847181
1899,South Africa,17.305212254044704
1900,South Africa,17.209066005530417
1901,South Africa,16.889119590240114
1902,South Africa,17.250490238841394
1903,South Africa,17.37020160536133
1904,South Africa,17.424661135280928
1905,South Africa,17.62201274040325
1906,South Africa,17.79441975549946
1907,South Africa,18.15731852946527
1908,South Africa,17.118961913410487
1909,South Africa,16.849224480973135
1910,South Africa,17.510331447064516
1911,South Africa,17.505183423022004
1912,South Africa,17.379764714803798
1913,South Africa,17.653767884893284
1914,South Africa,16.99867553604298
1915,South Africa,16.82350867659602
1916,South Africa,17.117314205090736
1917,South Africa,17.09761932996878
1918,South Africa,17.42486820055956
1919,South Africa,17.901197141068337
1920,South Africa,17.780122367610147
1921,South Africa,17.498435236154194
1922,South Africa,17.645225361257587
1923,South Africa,17.684393896164863
1924,South Africa,17.31457620865166
1925,South Africa,18.246841810468936
1926,South Africa,16.92258450212006
1927,South Africa,17.080998392056472
1928,South Africa,17.640216950074034
1929,South Africa,17.979362182543525
1930,South Africa,17.843264313378086
1931,South Africa,16.90553298856264
1932,South Africa,17.251657446819763
1933,South Africa,17.026658771363202
1934,South Africa,18.53211716706005
1935,South Africa,18.482248949925747
1936,South Africa,18.326413805480286
1937,South Africa,17.767463646149736
1938,South Africa,17.35098277540078
1939,South Africa,17.602750533034225
1940,South Africa,18.19372067338304
1941,South Africa,17.344972028287316
1942,South Africa,17.623608089068114
1943,South Africa,18.37420993513058
1944,South Africa,17.42787581379207
1945,South Africa,18.092171767217735
1946,South Africa,18.568725055623304
1947,South Africa,17.40529504167273
1948,South Africa,17.49722986796081
1949,South Africa,17.098348728786505
1950,South Africa,17.633368350338344
1951,South Africa,17.442665756529948
1952,South Africa,17.77433862634018
1953,South Africa,18.647696157008454
1954,South Africa,18.263394488007066
1955,South Africa,18.14618661119181
1956,South Africa,17.649258916215217
1957,South Africa,17.7251218247726
1958,South Africa,17.71539475621529
1959,South Africa,18.28723224338586
1960,South Africa,17.49160673085771
1961,South Africa,17.98919148143574
1962,South Africa,18.01928887074166
1963,South Africa,17.326410717766123
1964,South Africa,18.160671055700618
1965,South Africa,17.655229302752844
1966,South Africa,17.259690851071014
1967,South Africa,17.485841952434725
1968,South Africa,17.05672753032394
1969,South Africa,17.1406284726786
1970,South Africa,16.881168642741216
1971,South Africa,18.62448142712566
1972,South Africa,17.813004663597155
1973,South Africa,17.141143348432593
1974,South Africa,17.248756663867596
1975,South Africa,17.460613413845692
1976,South Africa,17.418706561220915
1977,South Africa,17.734719609716706
1978,South Africa,17.552565208518047
1979,South Africa,17.926872604335074
1980,South Africa,17.77379289616431
1981,South Africa,17.24518890410627
1982,South Africa,18.147884098640418
1983,South Africa,18.068005361568055
1984,South Africa,18.03248280155111
1985,South Africa,17.537104711806364
1986,South Africa,17.54047595041402
1987,South Africa,18.25482050245779
1988,South Africa,17.95040730451609
1989,South Africa,17.815425350817975
1990,South Africa,17.689316415051906
1991,South Africa,18.38764218267255
1992,South Africa,17.7527148839294
1993,South Africa,18.4203048536275
1994,South Africa,18.225944029676953
1995,South Africa,17.936155797335744
1996,South Africa,17.464158306758463
1997,South Africa,18.38763323891021
1998,South Africa,17.62698994054648
1999,South Africa,18.134439309242055
2000,South Africa,18.702295282571356
2001,South Africa,18.81591329148648
2002,South Africa,18.93922542457733
2003,South Africa,18.35910288750233
2004,South Africa,17.88968338358393
2005,South Africa,17.541274404783735
2006,South Africa,18.351717511711513
2007,South Africa,18.66174236258024
2008,South Africa,17.865665547779315
2009,South Africa,18.156182146053027
2010,South Africa,18.530105734729716
2011,South Africa,18.63540977702246
2012,South Africa,19.423005450458277
2013,South Africa,19.032091024696854
2014,South Africa,17.96687848116801
1850,South Korea,12.21995165404212
1851,South Korea,12.616493882712177
1852,South Korea,13.402505944170684
1853,South Korea,12.977500647445765
1854,South Korea,12.202652568650251
1855,South Korea,11.933867306538161
1856,South Korea,12.34741519127141
1857,South Korea,12.851681272761823
1858,South Korea,13.411807352400274
1859,South Korea,13.042185011946572
1860,South Korea,12.148360228832075
1861,South Korea,12.650862593470492
1862,South Korea,12.971909672632364
1863,South Korea,12.378870842551066
1864,South Korea,12.83996918061166
1865,South Korea,12.954903552191979
1866,South Korea,13.250100073215606
1867,South Korea,12.845702112701815
1868,South Korea,12.168978305045584
1869,South Korea,12.426497398478887
1870,South Korea,12.331803948217214
1871,South Korea,12.321332391929673
1872,South Korea,12.261182645671056
1873,South Korea,12.684943611146991
1874,South Korea,12.955850586697409
1875,South Korea,13.235213461231865
1876,South Korea,13.558288413042305
1877,South Korea,13.044157182101628
1878,South Korea,12.748363360724966
1879,South Korea,13.204377569689882
1880,South Korea,12.550104663488469
1881,South Korea,12.194552356813745
1882,South Korea,12.329169320316964
1883,South Korea,13.115366431493783
1884,South Korea,13.199691740477192
1885,South Korea,12.673025040505308
1886,South Korea,12.560401617575394
1887,South Korea,13.385106659953863
1888,South Korea,12.360821933840214
1889,South Korea,12.510151199487836
1890,South Korea,12.805751221147204
1891,South Korea,13.043892689810718
1892,South Korea,13.26594679761564
1893,South Korea,13.535904831090818
1894,South Korea,13.532990604675433
1895,South Korea,13.101676278019738
1896,South Korea,12.651965223543414
1897,South Korea,13.269943224076599
1898,South Korea,13.096205338435482
1899,South Korea,12.85706966004642
1900,South Korea,12.750950118585592
1901,South Korea,13.707471200773625
1902,South Korea,13.159428008928899
1903,South Korea,12.545601538861774
1904,South Korea,12.463426806381904
1905,South Korea,12.510620610554838
1906,South Korea,13.449325611178494
1907,South Korea,12.919950277753628
1908,South Korea,12.49846121014292
1909,South Korea,12.72918404289993
1910,South Korea,13.393493486898478
1911,South Korea,13.44036263558479
1912,South Korea,12.055933048777263
1913,South Korea,12.411421046160058
1914,South Korea,12.558097456898906
1915,South Korea,13.077184811994016
1916,South Korea,12.525581898065866
1917,South Korea,12.50969029022707
1918,South Korea,12.791517559570707
1919,South Korea,13.138935976535493
1920,South Korea,12.27100223286186
1921,South Korea,12.725675458808666
1922,South Korea,12.469617111112257
1923,South Korea,13.419311910761735
1924,South Korea,12.954138443818124
1925,South Korea,12.474538730396887
1926,South Korea,12.529823627613496
1927,South Korea,13.285342878603274
1928,South Korea,13.607721225106047
1929,South Korea,13.328308334488895
1930,South Korea,12.329307050856755
1931,South Korea,12.943213682031626
1932,South Korea,13.152278460970535
1933,South Korea,12.968633646282854
1934,South Korea,13.422302193273879
1935,South Korea,13.074676198962038
1936,South Korea,12.424181234178604
1937,South Korea,13.241611672119575
1938,South Korea,12.343980214187866
1939,South Korea,12.680641779168866
1940,South Korea,12.437639776535036
1941,South Korea,13.059925633707053
1942,South Korea,13.465074493510542
1943,South Korea,12.308106444223313
1944,South Korea,12.896568189334005
1945,South Korea,13.386736678460636
1946,South Korea,12.51139180611392
1947,South Korea,12.89005125509965
1948,South Korea,12.921976171462404
1949,South Korea,12.407899694534592
1950,South Korea,12.185554350889106
1951,South Korea,12.284078229741112
1952,South Korea,12.99808157795087
1953,South Korea,11.819080902911935
1954,South Korea,12.750675485933812
1955,South Korea,12.000868668113071
1956,South Korea,12.775476395570479
1957,South Korea,12.230839520674294
