year,season,country,mean_temp
1972,spring,United States of America,10.3225
1972,summer,United States of America,22.1878
1972,winter,United States of America,-0.2033
1973,fall,United States of America,12.2029
1973,spring,United States of America,9.0425
1973,summer,United States of America,21.0212
1973,winter,United States of America,-2.6535
1974,fall,United States of America,11.5987
1974,spring,United States of America,8.7578
1974,summer,United States of America,21.7962
1974,winter,United States of America,-1.7263
1975,fall,United States of America,11.959
1975,spring,United States of America,9.551
1975,summer,United States of America,21.0
1975,winter,United States of America,-2.2808
1976,fall,United States of America,12.0367
1976,spring,United States of America,9.3829
1976,summer,United States of America,21.7319
1976,winter,United States of America,-2.1773
1977,fall,United States of America,12.1655
1977,spring,United States of America,9.6183
1977,summer,United States of America,21.6422
1977,winter,United States of America,-1.5844
1978,fall,United States of America,11.0886
1978,spring,United States of America,9.0956
1978,summer,United States of America,21.5284
1978,winter,United States of America,-4.2282
1979,fall,United States of America,10.9203
1979,spring,United States of America,9.4149
1979,summer,United States of America,21.7894
1979,winter,United States of America,-0.9136
1980,fall,United States of America,12.008
1980,spring,United States of America,9.4087
1980,summer,United States of America,21.9345
1980,winter,United States of America,-2.985
1981,fall,United States of America,12.3124
1981,spring,United States of America,9.2385
1981,summer,United States of America,22.5221
1981,winter,United States of America,-2.19
1982,fall,United States of America,11.3482
1982,spring,United States of America,8.8833
1982,summer,United States of America,21.2758
1982,winter,United States of America,-1.4845
1983,fall,United States of America,11.1983
1983,spring,United States of America,9.0813
1983,summer,United States of America,21.1452
1983,winter,United States of America,-0.5873
1984,fall,United States of America,12.24
1984,spring,United States of America,9.6544
1984,summer,United States of America,22.5886
1984,winter,United States of America,-1.4611
1985,fall,United States of America,12.2532
1985,spring,United States of America,9.4557
1985,summer,United States of America,22.6015
1985,winter,United States of America,0.2902
1986,fall,United States of America,12.5448
1986,spring,United States of America,9.2913
1986,summer,United States of America,21.3721
1986,winter,United States of America,-3.1129
1987,fall,United States of America,12.3781
1987,spring,United States of America,9.1542
1987,summer,United States of America,21.5477
1987,winter,United States of America,-1.0896
1988,fall,United States of America,11.3903
1988,spring,United States of America,10.1425
1988,summer,United States of America,21.8022
1988,winter,United States of America,0.4587
1989,fall,United States of America,12.9023
1989,spring,United States of America,8.5919
1989,summer,United States of America,21.9596
1989,winter,United States of America,-0.5141
1990,fall,United States of America,13.283
1990,spring,United States of America,8.7648
1990,summer,United States of America,22.171
1990,winter,United States of America,-1.4187
1991,fall,United States of America,12.0211
1991,spring,United States of America,9.6843
1991,summer,United States of America,22.0333
1991,winter,United States of America,0.5185
